タブ,,,,,,,,ID,項目名,表示条件,値,選択要素,規定値,最小値,最大値,型,小数点以下,単位,備考
,,〇,,,,,,vn_e,第一種換気設備の場合における有効換気量率,"「換気設備の方式」=1,3,5,6",,,1.00,0.01,1.00,decimal,2,,
熱交換,,○,,,,,,hv_eff,熱交換換気設備性能 温度交換効率,"「換気設備の方式」=5,6",,,65,40,100,decimal,0,%,
,,〇,,,,,,,補正係数の入力,,1,デフォルト値を使⽤する,,,,,,,
,,,,,,,,,,,2,定格条件および設計時における給気・還気風量から計算する,,,,,,,
,,,○,,,,,hv_bal,給気と排気の比率による温度交換効率の補正係数,「補正係数の入力」=2,,,0.90,0.00,2.00,decimal,2,,Ver 1.14最大値変更
,,,○,,,,,hv_leak,排気過多時における住宅外皮経由の漏気による温度交換効率の補正係数,「補正係数の入力」=2,,,1.00,0.00,1.00,decimal,2,,
太陽給湯,○,,,,,,,sw_saiyou,太陽熱給湯設備の採用について,,1,太陽熱給湯を採用する,2,1,2,short,,,
,,,,,,,,,,,2,太陽熱給湯を採用しない,,,,,,,
,,○,,,,,,sw_sr,太陽熱給湯設備の種類,「太陽熱給湯設備の採用について」=1,1,太陽熱温水器を採用する（太陽熱給湯1）,-,1,2,short,,,
,,,,,,,,,,,2,ソーラーシステムを採用する（太陽熱給湯2）,,,,,,,
,,,○,,,,,sw_sr1_menseki,面積の入力方法,「太陽熱給湯設備の種類」=1,1,集熱部面積又は集熱貯湯部総面積を入力する,1,1,2,decimal,,,
,,,,,,,,,,,2,有効集熱面積を入力する,,,,,,,
,,,,○,,,,sw_sr1_menseki_all,集熱総面積,「面積の入力方法」=1,,,-,0.5,99.9,decimal,1,m2,Ver2.3 更新
,,,,○,,,,sw_sr1_menseki_eff,有効集熱面積,「面積の入力方法」=2,,,-,0.5,99.9,decimal,1,m2,Ver2.3 更新
,,,○,,,,,sw_sr2_menseki,面積の入力方法,「太陽熱給湯設備の種類」=2,1,集熱器総面積を入力する,1,1,2,decimal,,,
,,,,,,,,,,,2,有効集熱面積を入力する,,,,,,,
,,,,○,,,,sw_sr2_menseki_all,集熱総面積,「面積の入力方法」=1,,,-,0.5,99.9,decimal,1,m2,Ver2.3 更新
,,,,○,,,,sw_sr2_menseki_eff,有効集熱面積,「面積の入力方法」=2,,,-,0.5,99.9,decimal,1,m2,Ver2.3 更新
,,,○,,,,,sw_sr{x}_angle,集熱部の設置方位角,「太陽熱給湯設備の種類」=1 or 2,1,真南から東および西へ15度未満,-,1,12,short,,,
,,,,,,,,,,,2,真南から東へ15度以上45度未満,,,,,,,
,,,,,,,,,,,3,真南から東へ45度以上75度未満,,,,,,,
,,,,,,,,,,,4,真南から東へ75度以上105度未満,,,,,,,
,,,,,,,,,,,5,真南から東へ105度以上135度未満,,,,,,,
,,,,,,,,,,,6,真南から東へ135度以上165度未満,,,,,,,
,,,,,,,,,,,7,真南から東および西へ165度以上真北まで,,,,,,,
,,,,,,,,,,,8,真南から西へ135度以上165度未満,,,,,,,
,,,,,,,,,,,9,真南から西へ105度以上135度未満,,,,,,,
,,,,,,,,,,,10,真南から西へ75度以上105度未満,,,,,,,
,,,,,,,,,,,11,真南から西へ45度以上75度未満,,,,,,,
,,,,,,,,,,,12,真南から西へ15度以上45度未満,,,,,,,
,,,○,,,,,sw_sr{x}_slope,集熱部の設置傾斜角,「太陽熱給湯設備の種類」=1 or 2,1,0度（水平）,4,1,10,short,,,
