Region,Season,Distance,Pos,S,SW,W,NW,N,NE,E,SE
7,Cooling,6,3to3,0.833501068,0.855662277,0.832485949,0.823107997,0.793584033,0.82740897,0.829320333,0.855606915
7,Cooling,5,3to3,0.808637872,0.829080043,0.792106736,0.792532895,0.758347215,0.791541977,0.799849104,0.830181047
7,Cooling,4,3to3,0.775899865,0.794337746,0.748149947,0.741827336,0.713984965,0.752038748,0.750827095,0.795254972
7,Cooling,3,3to3,0.727087338,0.731191304,0.669578459,0.680269141,0.644788383,0.669949271,0.671068441,0.731354338
7,Cooling,2,3to3,0.643004377,0.618592123,0.55349203,0.550873379,0.540661103,0.571356306,0.543293593,0.612388936
7,Cooling,1,3to3,0.45259906,0.400799559,0.335194942,0.365298389,0.364529695,0.358611052,0.340816121,0.39582596
7,Cooling,40,1to2,0.949098577,0.951379661,0.946381224,0.932799838,0.921441103,0.939119835,0.947023607,0.950866038
7,Cooling,25,1to2,0.922392403,0.928240435,0.913949851,0.902055782,0.885161259,0.905092604,0.91322603,0.927486807
7,Cooling,19,1to2,0.897565654,0.904764497,0.879521124,0.873561158,0.850348615,0.873848452,0.879350507,0.904838206
7,Cooling,13,1to2,0.849384787,0.856657501,0.813490125,0.808023944,0.785865387,0.816128484,0.80955477,0.85524805
7,Cooling,9,1to2,0.785143577,0.78345307,0.712859998,0.725208097,0.698368548,0.722245203,0.710530198,0.782364208
7,Cooling,7,1to2,0.728479037,0.711001227,0.625622251,0.643555803,0.624919139,0.644033836,0.618990649,0.709940734
7,Cooling,6,1to2,0.692181824,0.661553179,0.56098837,0.593976666,0.578246654,0.593196546,0.559128933,0.659447601
7,Cooling,5,1to2,0.645319287,0.591782895,0.488028157,0.523605771,0.517261916,0.519659994,0.47483442,0.586556617
7,Cooling,4,1to2,0.574874967,0.496727469,0.389589704,0.436504857,0.442592575,0.431259606,0.395388144,0.489475652
7,Cooling,3,1to2,0.459945192,0.362900394,0.293242931,0.324273755,0.339759152,0.316880332,0.279889626,0.358866108
7,Cooling,2,1to2,0.293993892,0.202024871,0.158839446,0.185270883,0.210418084,0.182335196,0.159115986,0.201104273
7,Cooling,1,1to2,0.130603547,0.059406578,0.05533297,0.06202345,0.089271014,0.059445415,0.046842891,0.060888599
7,Cooling,40,2to2,0.964787472,0.96831686,0.967423382,0.960674339,0.952117675,0.962563142,0.96760677,0.968383331
7,Cooling,25,2to2,0.9540789,0.960010781,0.956647964,0.948270068,0.940378681,0.953608563,0.958468518,0.959708486
7,Cooling,19,2to2,0.943550273,0.951346342,0.94651553,0.937132139,0.927993966,0.943369319,0.949675684,0.951180422
7,Cooling,13,2to2,0.921809273,0.932232856,0.927109334,0.91770719,0.900779146,0.918754726,0.926307335,0.93287924
7,Cooling,9,2to2,0.89052429,0.904307895,0.892003309,0.885619187,0.863126162,0.888322513,0.895338857,0.906424287
7,Cooling,7,2to2,0.861355392,0.87806645,0.860458386,0.848959915,0.827798096,0.856031666,0.863346136,0.879862088
7,Cooling,6,2to2,0.841763117,0.860257588,0.836829429,0.82805412,0.802766797,0.832238749,0.833459343,0.860201564
7,Cooling,5,2to2,0.81592605,0.83325035,0.796257191,0.797157769,0.767030471,0.796028879,0.803873319,0.834300353
7,Cooling,4,2to2,0.781262455,0.797427841,0.751458138,0.745479957,0.721024611,0.755522411,0.754041037,0.798300352
7,Cooling,3,2to2,0.730394941,0.733111529,0.671815057,0.682639467,0.649539515,0.672165741,0.67323426,0.733240747
7,Cooling,2,2to2,0.644479923,0.619501741,0.554562041,0.552016946,0.542967772,0.572375468,0.544382102,0.61327192
7,Cooling,1,2to2,0.45265089,0.400815949,0.335222913,0.365322299,0.364594451,0.358629485,0.34084926,0.395842301
7,Cooling,40,1to1,0.964036686,0.966137664,0.964068774,0.95505987,0.945299552,0.957334999,0.96423289,0.966315066
7,Cooling,25,1to1,0.955185506,0.958949531,0.954447639,0.943693663,0.935225299,0.949455799,0.955967353,0.95884215
7,Cooling,19,1to1,0.946218362,0.951384231,0.944985164,0.932969032,0.923651529,0.939859189,0.948060018,0.951481049
7,Cooling,13,1to1,0.928156043,0.935111971,0.927369567,0.915179286,0.89886464,0.916835743,0.926436018,0.935973187
7,Cooling,9,1to1,0.902154947,0.91084692,0.894563328,0.886007508,0.865781683,0.889239441,0.897658395,0.913007369
7,Cooling,7,1to1,0.877120448,0.887171795,0.8651905,0.852415347,0.8352397,0.860006681,0.867786011,0.888915983
7,Cooling,6,1to1,0.859482328,0.870516185,0.842994066,0.833689156,0.813316934,0.838150541,0.839160863,0.870308113
7,Cooling,5,1to1,0.834779815,0.844324047,0.803885321,0.805162414,0.780947227,0.804205996,0.811133991,0.844987247
7,Cooling,4,1to1,0.799469686,0.808149854,0.759888801,0.755043269,0.737106881,0.76518342,0.76202567,0.808671032
7,Cooling,3,1to1,0.745643651,0.742338189,0.679667991,0.691829352,0.66549213,0.681654834,0.681025973,0.7420049
7,Cooling,2,1to1,0.687991728,0.608213826,0.541114699,0.558229877,0.5551866,0.558613762,0.535900489,0.60918255
7,Cooling,1,1to1,0.48381896,0.385247425,0.329448528,0.355390899,0.366397091,0.350638139,0.321860365,0.377369853
7,Heating,40,1to3,0.976517449,0.954245419,0.937034091,0.865465694,0.849836058,0.873188994,0.936236006,0.950060095
